Time	-Fx	-Fy	-Fz	Fres	-	-	-	Marker
0.000	00174.00	00042.00	00588.00	00614.64	-	-	-	0
0.005	00168.00	00042.00	00582.00	00607.22	-	-	-	0
0.009	00168.00	00042.00	00576.00	00601.47	-	-	-	0
0.014	00168.00	00042.00	00570.00	00595.72	-	-	-	0
0.018	00168.00	00036.00	00564.00	00589.59	-	-	-	0
0.023	00168.00	00036.00	00552.00	00578.12	-	-	-	0
0.027	00168.00	00036.00	00540.00	00566.67	-	-	-	0
0.032	00168.00	00042.00	00528.00	00555.67	-	-	-	0
0.036	00168.00	00042.00	00522.00	00549.97	-	-	-	0
0.041	00168.00	00048.00	00510.00	00539.10	-	-	-	0
0.045	00168.00	00048.00	00498.00	00527.76	-	-	-	0
0.050	00168.00	00054.00	00486.00	00517.05	-	-	-	0
0.054	00162.00	00066.00	00474.00	00505.25	-	-	-	0
0.059	00162.00	00066.00	00462.00	00494.01	-	-	-	0
0.063	00162.00	00072.00	00450.00	00483.66	-	-	-	0
0.068	00168.00	00078.00	00438.00	00475.55	-	-	-	0
0.073	00168.00	00078.00	00426.00	00464.53	-	-	-	0
0.077	00168.00	00084.00	00414.00	00454.62	-	-	-	0
0.082	00168.00	00084.00	00402.00	00443.72	-	-	-	0
0.086	00162.00	00084.00	00396.00	00436.02	-	-	-	0
0.104	00162.00	00084.00	00378.00	00419.74	-	-	-	0
0.109	00150.00	00078.00	00366.00	00403.16	-	-	-	0
0.113	00144.00	00078.00	00360.00	00395.50	-	-	-	0
0.118	00144.00	00066.00	00354.00	00387.82	-	-	-	0
0.122	00132.00	00060.00	00342.00	00371.47	-	-	-	0
0.127	00132.00	00054.00	00336.00	00365.02	-	-	-	0
0.131	00126.00	00048.00	00324.00	00350.94	-	-	-	0
0.136	00120.00	00036.00	00318.00	00341.79	-	-	-	0
0.140	00120.00	00030.00	00312.00	00335.62	-	-	-	0
0.145	00114.00	00024.00	00306.00	00327.43	-	-	-	0
0.149	00108.00	00018.00	00300.00	00319.36	-	-	-	0
0.154	00102.00	00018.00	00294.00	00311.71	-	-	-	0
0.158	00102.00	00012.00	00288.00	00305.76	-	-	-	0
0.163	00096.00	00006.00	00282.00	00297.95	-	-	-	0
0.167	00096.00	00006.00	00282.00	00297.95	-	-	-	0
0.172	00090.00	00000.00	00282.00	00296.01	-	-	-	0
0.176	00090.00	00000.00	00276.00	00290.30	-	-	-	0
0.181	00090.00	-00006.00	00276.00	00290.37	-	-	-	0
0.185	00090.00	-00006.00	00276.00	00290.37	-	-	-	0
0.190	00090.00	-00012.00	00270.00	00284.86	-	-	-	0
0.194	00090.00	-00018.00	00270.00	00285.17	-	-	-	0
0.199	00096.00	-00018.00	00276.00	00292.77	-	-	-	0
0.203	00096.00	-00024.00	00276.00	00293.20	-	-	-	0
0.208	00102.00	-00024.00	00282.00	00300.84	-	-	-	0
0.212	00108.00	-00024.00	00288.00	00308.52	-	-	-	0
0.217	00114.00	-00030.00	00300.00	00322.33	-	-	-	0
0.221	00126.00	-00030.00	00306.00	00332.28	-	-	-	0
0.226	00132.00	-00030.00	00318.00	00345.61	-	-	-	0
0.230	00144.00	-00030.00	00330.00	00361.30	-	-	-	0
0.235	00156.00	-00030.00	00342.00	00377.09	-	-	-	0
0.239	00168.00	-00030.00	00360.00	00398.40	-	-	-	0
0.244	00180.00	-00030.00	00378.00	00419.74	-	-	-	0
0.248	00186.00	-00024.00	00402.00	00443.59	-	-	-	0
0.253	00198.00	-00024.00	00426.00	00470.38	-	-	-	0
0.258	00204.00	-00030.00	00456.00	00500.45	-	-	-	0
0.262	00216.00	-00030.00	00492.00	00538.16	-	-	-	0
0.267	00228.00	-00030.00	00528.00	00575.91	-	-	-	0
0.271	00234.00	-00030.00	00570.00	00616.89	-	-	-	0
0.276	00252.00	-00030.00	00612.00	00662.53	-	-	-	0
0.281	00264.00	-00030.00	00660.00	00711.47	-	-	-	0
0.285	00276.00	-00030.00	00708.00	00760.49	-	-	-	0
0.290	00288.00	-00036.00	00756.00	00809.80	-	-	-	0
0.295	00306.00	-00036.00	00816.00	00872.23	-	-	-	0
0.300	00324.00	-00042.00	00870.00	00929.32	-	-	-	0
0.304	00348.00	-00048.00	00936.00	00999.75	-	-	-	0
0.309	00372.00	-00048.00	00996.00	01064.29	-	-	-	0
0.314	00396.00	-00048.00	01062.00	01134.44	-	-	-	0
0.319	00420.00	-00048.00	01128.00	01204.61	-	-	-	0
0.323	00450.00	-00042.00	01194.00	01276.68	-	-	-	0
0.328	00480.00	-00036.00	01260.00	01348.81	-	-	-	0
0.333	00510.00	-00030.00	01326.00	01421.01	-	-	-	0
0.338	00546.00	-00018.00	01386.00	01489.78	-	-	-	0
0.343	00576.00	00000.00	01434.00	01545.36	-	-	-	0
0.348	00600.00	00018.00	01482.00	01598.95	-	-	-	0
0.353	00624.00	00042.00	01524.00	01647.34	-	-	-	0
0.358	00642.00	00066.00	01560.00	01688.23	-	-	-	0
0.363	00654.00	00090.00	01596.00	01727.15	-	-	-	0
0.368	00660.00	00114.00	01620.00	01753.00	-	-	-	0
0.372	00660.00	00132.00	01638.00	01770.89	-	-	-	0
0.377	00660.00	00144.00	01650.00	01782.93	-	-	-	0
0.382	00654.00	00156.00	01656.00	01787.29	-	-	-	0
0.387	00648.00	00168.00	01650.00	01780.63	-	-	-	0
0.392	00642.00	00174.00	01644.00	01773.46	-	-	-	0
0.397	00630.00	00174.00	01632.00	01758.01	-	-	-	0
0.402	00618.00	00174.00	01614.00	01737.01	-	-	-	0
0.406	00606.00	00174.00	01590.00	01710.44	-	-	-	0
0.411	00588.00	00168.00	01566.00	01681.17	-	-	-	0
0.416	00576.00	00168.00	01536.00	01649.03	-	-	-	0
0.421	00558.00	00162.00	01506.00	01614.20	-	-	-	0
0.425	00546.00	00156.00	01476.00	01581.46	-	-	-	0
0.430	00534.00	00150.00	01446.00	01548.73	-	-	-	0
0.435	00522.00	00138.00	01416.00	01515.45	-	-	-	0
0.440	00510.00	00132.00	01386.00	01482.74	-	-	-	0
0.444	00498.00	00126.00	01356.00	01450.04	-	-	-	0
0.449	00492.00	00120.00	01332.00	01425.02	-	-	-	0
0.454	00480.00	00108.00	01308.00	01397.47	-	-	-	0
0.458	00474.00	00102.00	01284.00	01372.49	-	-	-	0
0.463	00468.00	00090.00	01260.00	01347.12	-	-	-	0
0.468	00462.00	00072.00	01242.00	01327.10	-	-	-	0
0.472	00456.00	00060.00	01224.00	01307.56	-	-	-	0
0.477	00444.00	00048.00	01200.00	01280.41	-	-	-	0
0.482	00426.00	00036.00	01182.00	01256.94	-	-	-	0
0.486	00414.00	00030.00	01158.00	01230.15	-	-	-	0
0.491	00402.00	00018.00	01128.00	01197.63	-	-	-	0
0.496	00390.00	00012.00	01098.00	01165.27	-	-	-	0
0.500	00378.00	00006.00	01068.00	01132.94	-	-	-	0
0.519	00366.00	00000.00	01020.00	01083.68	-	-	-	0
0.523	00348.00	-00006.00	00978.00	01038.09	-	-	-	0
0.528	00336.00	-00012.00	00936.00	00994.55	-	-	-	0
0.532	00324.00	-00018.00	00900.00	00956.71	-	-	-	0
0.537	00312.00	-00018.00	00864.00	00918.78	-	-	-	0
0.542	00300.00	-00024.00	00828.00	00881.00	-	-	-	0
0.546	00288.00	-00024.00	00804.00	00854.36	-	-	-	0
0.551	00282.00	-00024.00	00780.00	00829.76	-	-	-	0
0.555	00276.00	-00024.00	00756.00	00805.16	-	-	-	0
0.560	00270.00	-00024.00	00738.00	00786.21	-	-	-	0
0.564	00264.00	-00024.00	00726.00	00772.88	-	-	-	0
0.569	00258.00	-00018.00	00708.00	00753.76	-	-	-	0
0.573	00258.00	-00018.00	00696.00	00742.50	-	-	-	0
0.578	00258.00	-00012.00	00684.00	00731.14	-	-	-	0
