Time	-Fx	-Fy	-Fz	Fres	-	-	-	Marker
0.000	00117.85	00039.44	00231.70	00262.92	-	-	-	0
0.003	00122.69	00039.93	00246.80	00278.49	-	-	-	0
0.008	00128.64	00039.32	00263.74	00296.06	-	-	-	0
0.014	00135.61	00038.76	00280.77	00314.21	-	-	-	0
0.017	00142.96	00037.93	00297.15	00331.92	-	-	-	0
0.020	00150.62	00036.82	00313.15	00349.43	-	-	-	0
0.023	00158.82	00035.39	00329.17	00367.19	-	-	-	0
0.025	00167.07	00032.35	00345.93	00385.52	-	-	-	0
0.034	00175.63	00027.85	00363.72	00404.86	-	-	-	0
0.037	00184.11	00021.28	00383.61	00426.04	-	-	-	0
0.040	00192.77	00013.16	00406.39	00449.98	-	-	-	0
0.051	00201.76	00003.45	00431.82	00476.64	-	-	-	0
0.054	00210.72	-00006.84	00459.17	00505.26	-	-	-	0
0.057	00219.80	-00018.22	00487.65	00535.21	-	-	-	0
0.062	00228.51	-00030.24	00516.49	00565.59	-	-	-	0
0.065	00237.66	-00042.16	00544.90	00595.97	-	-	-	0
0.071	00246.77	-00053.33	00572.33	00625.54	-	-	-	0
0.074	00255.79	-00063.21	00598.62	00654.04	-	-	-	0
0.077	00264.66	-00071.10	00623.71	00681.26	-	-	-	0
0.080	00273.86	-00076.95	00648.05	00707.73	-	-	-	0
0.085	00283.03	-00080.20	00671.20	00732.84	-	-	-	0
0.088	00291.36	-00081.46	00694.02	00757.10	-	-	-	0
0.094	00299.21	-00081.06	00717.67	00781.76	-	-	-	0
0.100	00305.76	-00079.44	00741.91	00806.37	-	-	-	0
0.103	00310.91	-00076.12	00766.55	00830.69	-	-	-	0
0.105	00316.15	-00071.60	00791.69	00855.48	-	-	-	0
0.108	00321.90	-00066.21	00818.01	00881.56	-	-	-	0
0.111	00328.57	-00060.18	00846.18	00909.73	-	-	-	0
0.114	00336.50	-00053.83	00876.83	00940.72	-	-	-	0
0.117	00346.05	-00047.37	00910.38	00975.08	-	-	-	0
0.126	00358.03	-00040.69	00948.51	01014.64	-	-	-	0
